Rk,Score,PtsW,PtsL
514,55-55,55,55
515,56-2,56,2
516,56-4,56,4
517,56-5,56,5
518,56-6,56,6
519,56-8,56,8
520,56-9,56,9
521,56-11,56,11
522,56-12,56,12
523,56-13,56,13
524,56-15,56,15
525,56-16,56,16
526,56-18,56,18
527,56-22,56,22
528,56-24,56,24
529,56-25,56,25
530,56-27,56,27
531,56-29,56,29
532,56-30,56,30
533,56-32,56,32
534,56-33,56,33
535,56-34,56,34
536,56-36,56,36
537,56-37,56,37
538,56-38,56,38
539,56-39,56,39
540,56-40,56,40
541,56-41,56,41
542,56-42,56,42
543,56-43,56,43
544,56-44,56,44
545,56-45,56,45
546,56-46,56,46
547,56-47,56,47
548,56-48,56,48
549,56-49,56,49
550,56-50,56,50
551,56-51,56,51
552,56-52,56,52
553,56-53,56,53
554,56-54,56,54
555,56-55,56,55
556,56-56,56,56
557,57-2,57,2
558,57-3,57,3
559,57-4,57,4
560,57-5,57,5
561,57-6,57,6
562,57-7,57,7
563,57-8,57,8
564,57-9,57,9
565,57-10,57,10
566,57-11,57,11
567,57-12,57,12
568,57-13,57,13
569,57-15,57,15
570,57-16,57,16
571,57-17,57,17
572,57-18,57,18
573,57-19,57,19
574,57-20,57,20
575,57-22,57,22
576,57-23,57,23
577,57-24,57,24
578,57-25,57,25
579,57-26,57,26
580,57-27,57,27
581,57-28,57,28
582,57-29,57,29
583,57-30,57,30
584,57-32,57,32
585,57-34,57,34
586,57-35,57,35
587,57-36,57,36
588,57-37,57,37
589,57-38,57,38
590,57-39,57,39
591,57-40,57,40
592,57-41,57,41
593,57-42,57,42
594,57-43,57,43
595,57-44,57,44
596,57-45,57,45
597,57-46,57,46
598,57-47,57,47
599,57-48,57,48
600,57-49,57,49
601,57-50,57,50
602,57-51,57,51
603,57-52,57,52
604,57-53,57,53
605,57-54,57,54
606,57-55,57,55
607,57-56,57,56
608,57-57,57,57
609,58-2,58,2
610,58-3,58,3
611,58-4,58,4
612,58-5,58,5
613,58-6,58,6
614,58-7,58,7
615,58-8,58,8
616,58-9,58,9
617,58-10,58,10
618,58-11,58,11
619,58-12,58,12
620,58-13,58,13
621,58-15,58,15
622,58-16,58,16
623,58-17,58,17
624,58-18,58,18
625,58-19,58,19
626,58-21,58,21
627,58-22,58,22
628,58-23,58,23
629,58-25,58,25
630,58-26,58,26
631,58-28,58,28
632,58-29,58,29
633,58-30,58,30
634,58-31,58,31
635,58-32,58,32
636,58-33,58,33
637,58-34,58,34
638,58-35,58,35
639,58-36,58,36
640,58-38,58,38
641,58-39,58,39
642,58-40,58,40
643,58-41,58,41
644,58-42,58,42
645,58-43,58,43
646,58-44,58,44
647,58-45,58,45
648,58-46,58,46
649,58-47,58,47
650,58-49,58,49
651,58-50,58,50
652,58-51,58,51
653,58-52,58,52
654,58-53,58,53
655,58-54,58,54
656,58-55,58,55
657,58-56,58,56
658,58-57,58,57
659,58-58,58,58
660,59-2,59,2
